Youtube ID:,"Is the alphanumeric string that starts after ""http://www.youtube.com/watch?v="" and ends before ""&""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,1/1/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,"1,562","5,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mapped,,,,,,,,,,,,861,150,113,974,96,104,319,300,450,90,450,240,618,247,79,861,59,15,6,46,687,939,170,1,"1,180",42,1,4,8,122,102,"1,303",75,988,806
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERIAL,ADDED,CREATED,TITLE,SUBJECT,TUTORIAL,TOPIC,SUB-TOPIC,TITLED ID,DURATION,SUBTITLED,ENGLISH,ARABIC,ARMENIAN,BAHASA INDONESIA,BANGLA,BULGARIAN,CZECH,DANISH,DEUTSCH,ESPANOL,FARSI,FRANCAIS,GREEK,HEBREW,ITALIANO,JAPANESE,KISWAHILI,KOREAN,MONGOLIAN,NEPALI,NORSK,POLISH,PORTUGUES,PORTUGAL PORTUGUES,PUNJABI,RUSSIAN,SERBIAN,SINDHI,SINHALA,TAMIL,TELUGU,THAI,TURKCE,UKRANIAN,URDU,XHOSA
1,12/1/2013,10/5/2013,Carrying when adding three digit numbers,Math,3rd grade (U.S.),Addition and subtraction,Adding with carrying within 1000,carrying-when-adding-three-digit-numbers,146,,Wm0zq-NqEFs,,,,,,,,,,,,,,,,,,,,,LmQgNNC2PZ8,,,,,,,,,,,,,,
2,12/1/2013,10/5/2013,Why carrying works,Math,3rd grade (U.S.),Addition and subtraction,Adding with carrying within 1000,why-carrying-works,150,Y,O9zSHs1TWMM,,,,,,,,,,,,,,,,,,,,,CToA9HBcCnE,,,,,,,,,,,,,,
3,12/1/2013,10/5/2013,Examples of carrying when adding three digit numbers,Math,3rd grade (U.S.),Addition and subtraction,Adding with carrying within 1000,example-adding-with-carrying,184,Y,9hM32lsQ4aI,,,,,,,,,,,,,,,,,,,,,p5MAtQmVUtY,,,,,,,,,,,,,,
4,12/1/2013,10/5/2013,Basic regrouping or borrowing when subtracting three digit numbers,Math,3rd grade (U.S.),Addition and subtraction,Using regrouping or borrowing to subtract 3 digit numbers,basic-regrouping-or-borrowing-when-subtracting-three-digit-numbers,167,,9T3AAn-Cw3g,,,,,,,,,,,,,,,,,,,,,up6w36u84ro,,,,,,,,,,,,,,
5,12/1/2013,10/5/2013,Regrouping when subtracting three digit numbers,Math,3rd grade (U.S.),Addition and subtraction,Using regrouping or borrowing to subtract 3 digit numbers,regrouping-when-subtracting-three-digit-numbers,200,,QOtam19NQcQ,,,,,,,,,,,,,,,,,,,,,GkzR3us11M4,,,,,,,,,,,,,,
6,12/1/2013,10/5/2013,Regrouping twice when subtracting three digit numbers,Math,3rd grade (U.S.),Addition and subtraction,Using regrouping or borrowing to subtract 3 digit numbers,regrouping-twice-when-subtracting-three-digit-numbers,228,,LSaaKau63Gg,,,,,,,,,,,,,,,,,,,,,xyys_gk9O4w,,,,,,,,,,,,,,
7,12/1/2013,10/5/2013,Regrouping from 0 when subtracting three digit numbers,Math,3rd grade (U.S.),Addition and subtraction,Using regrouping or borrowing to subtract 3 digit numbers,regrouping-from-0-when-subtracting-three-digit-numbers,144,,3lHBgFvr3yE,,,,,,,,,,,,,,,,,,,,,oOnkJI4_udM,,,,,,,,,,,,,,
8,12/1/2013,10/18/2013,Mental technique for subtraction without regrouping,Math,3rd grade (U.S.),Addition and subtraction,Using regrouping or borrowing to subtract 3 digit numbers,mental-technique-for-subtraction-without-regrouping,157,Y,iivtjjdSu9I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12/1/2013,10/1/2013,Intro to multiplication,Math,3rd grade (U.S.),Multiplication and division,Concept of multiplication and division,multiplication-intro,213,,RNxwasijbAo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12/1/2013,9/30/2013,Multiplication as groups of objects,Math,3rd grade (U.S.),Multiplication and division,Concept of multiplication and division,multiplication-as-groups-of-objects,259,,cDpBtkU2cf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
